,Open,High,Low,Close,Volume 
10/13/2020 0:00,4.31,4.349,4.125,4.254,8263068
10/14/2020 0:00,4.254,4.388,4.074,4.186,11394825.4
10/15/2020 0:00,4.186,4.193,4.019,4.103,8460458.8
10/16/2020 0:00,4.102,4.161,3.79,3.916,9332072.8
10/17/2020 0:00,3.917,3.982,3.862,3.967,3942619
10/18/2020 0:00,3.967,4.13,3.956,4.111,4442084.6
10/19/2020 0:00,4.109,4.125,3.953,3.989,5237793.8
10/20/2020 0:00,3.988,4.15,3.863,3.903,11666325.9
10/21/2020 0:00,3.904,4.247,3.89,4.136,13125316.1
10/22/2020 0:00,4.136,4.345,4.124,4.274,11088616.7
10/23/2020 0:00,4.272,4.492,4.184,4.266,13498558.6
10/24/2020 0:00,4.265,4.439,4.242,4.352,10436586.4
10/25/2020 0:00,4.351,4.451,4.257,4.33,7512771.4
10/26/2020 0:00,4.333,4.751,4.289,4.702,23157749.7
10/27/2020 0:00,4.703,4.939,4.641,4.677,18254991.3
10/28/2020 0:00,4.677,4.784,4.23,4.358,15525273.3
10/29/2020 0:00,4.356,4.411,3.822,4.055,18536282.2
10/30/2020 0:00,4.054,4.161,3.908,4.081,10743311.6
10/31/2020 0:00,4.08,4.281,4.054,4.18,6751670.7
11/1/2020 0:00,4.181,4.224,4.104,4.218,4507314.7
11/2/2020 0:00,4.22,4.264,3.957,4.026,10764650.7
11/3/2020 0:00,4.026,4.068,3.877,4.033,9641198
11/4/2020 0:00,4.033,4.155,3.887,4.096,11005075.9
11/5/2020 0:00,4.097,4.303,4.008,4.224,10263880.4
11/6/2020 0:00,4.224,4.645,4.201,4.587,12754179.9
11/7/2020 0:00,4.585,4.866,4.078,4.235,20256437.4
11/8/2020 0:00,4.234,4.431,4.127,4.373,9744221
11/9/2020 0:00,4.372,4.466,4.238,4.349,8799504.9
11/10/2020 0:00,4.349,4.509,4.303,4.422,7862750.1
11/11/2020 0:00,4.424,4.635,4.414,4.45,8980090.5
11/12/2020 0:00,4.449,4.479,4.31,4.405,5993160.6
11/13/2020 0:00,4.406,4.597,4.368,4.543,8344282.1
11/14/2020 0:00,4.543,4.559,4.353,4.465,7048928.1
11/15/2020 0:00,4.467,4.509,4.302,4.366,8876203.6
11/16/2020 0:00,4.369,4.604,4.336,4.502,12131373.2
11/17/2020 0:00,4.501,4.95,4.491,4.864,22824103
11/18/2020 0:00,4.864,4.953,4.4,4.682,16570102.1
11/19/2020 0:00,4.682,4.858,4.539,4.759,10079058.3
11/20/2020 0:00,4.759,5.481,4.741,5.234,27612938.7
11/21/2020 0:00,5.234,5.832,5.128,5.796,24807643.3
11/22/2020 0:00,5.795,5.876,5.167,5.525,21964164.1
11/23/2020 0:00,5.526,6,5.421,5.919,24914371.9
11/24/2020 0:00,5.92,6.114,5.502,5.747,25837968.1
11/25/2020 0:00,5.747,5.849,5.108,5.306,17482952.4
11/26/2020 0:00,5.306,5.379,4.43,4.804,26341446.8
11/27/2020 0:00,4.805,5.074,4.507,4.81,11243818.4
11/28/2020 0:00,4.809,4.955,4.669,4.888,8428910.8
11/29/2020 0:00,4.891,5.21,4.795,5.19,9711959.5
11/30/2020 0:00,5.19,5.453,5.13,5.381,15230998.5
12/1/2020 0:00,5.382,5.556,4.952,5.081,14573932.8
12/2/2020 0:00,5.083,5.546,4.981,5.457,10838129.1
12/3/2020 0:00,5.457,5.575,5.316,5.403,8426289
12/4/2020 0:00,5.402,5.439,4.954,4.999,8403326.4
