,Open,High,Low,Close,Volume
2/6/2021 0:00,507.801,513.341,433.165,475.062,876430.1
2/7/2021 0:00,474.977,482.68,392.496,473.334,783237.5
2/8/2021 0:00,473.364,532.332,462.183,491.504,853659.8
2/9/2021 0:00,491.504,514.448,471.144,490.233,521960.4
2/10/2021 0:00,490.135,584.832,460,523.833,881712.1
2/11/2021 0:00,523.72,544.624,507.053,517.458,377826.3
2/12/2021 0:00,517.922,548.7,500,529,397569.2
2/13/2021 0:00,528.999,546.331,485,496.585,422300.8
2/14/2021 0:00,496.862,512.199,460.846,469.441,378473.9
2/15/2021 0:00,469.794,498.5,360,456.364,807962
2/16/2021 0:00,456.997,480.384,420.261,433.691,464198.5
2/17/2021 0:00,433.777,474.521,399.376,451.677,624599.9
2/18/2021 0:00,452.108,480.919,435.055,442.217,411254.2
2/19/2021 0:00,442.463,449.542,406,420.365,518975.7
2/20/2021 0:00,420.444,504.411,405.461,441.261,1154939.1
2/21/2021 0:00,441.297,457,420,437.748,474950
2/22/2021 0:00,437.927,452.589,331.66,401.031,836659.3
2/23/2021 0:00,400.824,404.829,280,364.411,1089692.9
2/24/2021 0:00,364.398,406.4,341.608,366.993,603890.1
2/25/2021 0:00,367.131,389.237,335.151,339.285,422997.1
2/26/2021 0:00,339.321,354.762,304,323.417,512070.6
2/27/2021 0:00,323.271,350,323.267,333.032,313408.2
2/28/2021 0:00,332.955,366.476,300.023,354.498,469786.8
3/1/2021 0:00,354.543,389.563,350.703,385.591,522257.1
3/2/2021 0:00,385.707,419.159,374.711,391.383,580928.3
3/3/2021 0:00,391.509,420.14,383.989,396.551,397737.7
3/4/2021 0:00,396.758,411.432,365.816,374.408,410546.4
3/5/2021 0:00,374.695,377.287,340,367.408,325566.5
3/6/2021 0:00,367.292,391.221,352.115,388.119,247320.7
3/7/2021 0:00,388.165,419.99,384.15,414.765,452360
3/8/2021 0:00,414.771,438.5,391.493,437.608,526709.3
3/9/2021 0:00,437.608,453.431,417.487,445.133,422337.5
3/10/2021 0:00,445.241,460.425,398.179,406.952,523975.2
3/11/2021 0:00,406.594,416.243,387.577,406.192,414972.5
3/12/2021 0:00,406.176,409.685,359.686,374.439,486347.1
3/13/2021 0:00,374.474,429.628,359.925,414.966,539312
3/14/2021 0:00,415.178,419.9,377.41,380.762,442738.8
3/15/2021 0:00,380.703,391.537,352.814,367.811,396717.7
3/16/2021 0:00,367.725,382.055,350.174,370.749,370292.1
3/17/2021 0:00,370.948,384.861,358,383.201,332884.7
3/18/2021 0:00,383.319,385.197,361.131,363.497,278084
3/19/2021 0:00,363.497,380.147,353.629,369.684,298767.7
3/20/2021 0:00,369.429,397.712,367.975,370.832,343700.7
3/21/2021 0:00,370.57,376.575,360,367.842,224673
3/22/2021 0:00,367.875,372.656,330.774,336.257,349148.1
3/23/2021 0:00,336.218,345.752,325.75,330.828,293362.3
3/24/2021 0:00,330.842,349.379,292.555,308.382,379565.8
3/25/2021 0:00,308.23,333.431,298.091,326.127,432026.3
3/26/2021 0:00,325.924,361,325.694,358.378,386741.8
3/27/2021 0:00,358.442,362.361,340.012,351.839,249778
3/28/2021 0:00,351.838,357.579,330,347.697,287376.4
3/29/2021 0:00,347.697,368.593,344.742,361.282,321156
3/30/2021 0:00,361.216,383.875,354,378.034,355297.7
3/31/2021 0:00,377.949,394.729,356,383.345,574997.4
4/1/2021 0:00,383.146,395.028,370.067,382.953,342675.2
