,Open,High,Low,Close,Volume
2017-12-18,18493.04,18900.0,18465.39,18856.25,704.46053
2017-12-19,18856.25,18950.0,16300.0,17295.2,13167.116874
2017-12-20,17295.2,17720.35,14800.0,16488.98,13008.77985
2017-12-21,16480.52,17309.5,14100.0,15492.64,19897.862912
2017-12-22,15514.03,15699.34,11111.51,13326.61,33064.896519
2017-12-23,13326.61,14950.0,12978.18,13300.0,12808.525912
2017-12-24,13300.0,13819.99,11798.8,13500.0,27079.449803
2017-12-25,13500.0,14300.0,12708.0,13699.34,15607.598265
2017-12-26,13699.34,16050.0,13533.0,15689.01,14845.640226
2017-12-27,15709.98,16498.05,14200.15,15459.99,14936.933071
2017-12-28,15459.97,15539.99,13150.0,14182.11,21608.988853
2017-12-29,14199.14,14981.0,13850.0,14378.9,18072.008116
2017-12-30,14378.99,14398.85,11750.0,12440.01,19221.158039
2017-12-31,12345.1,14050.11,12149.98,13716.36,11768.989718
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.723751
2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.162137
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.200082
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.000239
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.718343
2018-01-16,13500.0,13542.93,9035.0,10900.0,63396.549586
2018-01-17,10899.99,11680.99,9037.94,10988.79,72319.441084
2018-01-18,10972.59,11878.82,10435.33,10961.97,48460.651584
2018-01-19,10960.0,11795.0,10360.0,11474.98,34127.836677
2018-01-20,11474.98,13099.0,11412.45,12799.94,28768.652751
2018-01-21,12799.8,12799.8,10965.0,11530.0,41378.939959
2018-01-22,11530.0,11926.35,9900.24,10760.05,43751.4137
2018-01-23,10760.05,11399.0,9905.0,10799.18,37468.957163
2018-01-24,10799.14,11570.48,10500.0,11349.99,27157.164513
2018-01-25,11349.96,11794.05,10950.21,11175.28,20838.768762
2018-01-26,11184.7,11643.0,10311.15,11089.0,33054.356237
2018-01-27,11089.0,11650.0,10842.69,11491.0,18860.092832
2018-01-28,11499.98,12244.0,11408.0,11879.95,16885.716622
2018-01-29,11879.95,11975.02,11139.55,11251.0,14170.076521
2018-01-30,11250.11,11308.42,9900.0,10237.51,25552.436807
2018-01-31,10230.0,10425.85,9700.0,10285.1,18000.488165
2018-02-01,10285.1,10335.0,8750.99,9224.52,33535.952812
2018-02-02,9224.52,9250.0,8010.02,8873.03,46106.508545
2018-02-03,8873.03,9473.01,8229.0,9199.96,28725.000735
2018-02-04,9199.96,9368.0,7930.0,8184.81,32144.89753
2018-02-05,8179.99,8382.8,6625.0,6939.99,63403.182579
2018-02-06,6939.65,7878.0,6000.01,7652.14,100170.303359
2018-02-07,7655.02,8476.0,7150.01,7599.0,60671.72574
2018-02-08,7599.0,7844.0,7572.09,7784.02,1521.537318
2018-02-09,7789.9,8738.0,7789.9,8683.92,20482.910825
2018-02-10,8683.93,9065.78,8120.0,8533.98,49381.512653
2018-02-11,8533.99,8549.0,7726.53,8063.88,45025.187952
2018-02-12,8063.82,8989.0,8053.0,8903.0,41987.85049
2018-02-13,8903.0,8950.0,8351.0,8539.9,35454.972956
2018-02-14,8535.17,9489.6,8533.0,9449.99,40811.952867
2018-02-15,9449.98,10219.5,9301.5,10000.09,52427.596715
2018-02-16,10000.89,10323.37,9666.0,10159.98,38161.205974
2018-02-17,10156.05,11075.07,10050.0,11039.55,41882.108407
2018-02-18,11039.55,11274.0,10080.0,10383.43,61137.380728
2018-02-19,10375.01,11250.0,10270.33,11153.0,40831.417131
2018-02-20,11147.11,11786.01,11100.59,11200.99,48153.354288
2018-02-21,11195.07,11304.03,10200.0,10437.6,68113.818754
2018-02-22,10439.02,10933.44,9679.0,9811.04,67060.166483
2018-02-23,9815.55,10435.0,9570.19,10131.04,57202.70237
2018-02-24,10131.04,10496.97,9352.0,9694.51,40888.156299
2018-02-25,9694.51,9847.0,9274.8,9590.0,28373.517586
2018-02-26,9590.0,10444.32,9350.0,10324.0,34878.292756
2018-02-27,10321.0,10870.0,10121.0,10569.04,30705.385123
2018-02-28,10584.33,11098.0,10300.0,10326.76,30800.983782
2018-03-01,10325.64,11060.41,10240.0,10920.0,25092.55393
2018-03-02,10923.36,11200.0,10770.0,11039.0,23910.71009
2018-03-03,11038.99,11544.0,11015.01,11464.48,21287.15328
2018-03-04,11464.47,11565.0,11050.02,11515.0,17295.918653
2018-03-05,11515.0,11710.0,11415.01,11454.0,15144.231063
2018-03-06,11455.0,11455.0,10555.48,10716.48,29515.572363
2018-03-07,10716.48,10899.0,9389.31,9910.0,50647.67108
2018-03-08,9910.0,10099.0,9060.0,9271.64,41109.473226
